# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=6
proc=vbf
EBlowR9scale        0.0005     0.0000     0.0000    
EBlowR9smear        0.0005     0.0000     0.0000    
EBhighR9scale       0.0110     0.0000     0.0000    
EBhighR9smear       0.0011     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=6
proc=wh
EBlowR9scale        0.0022     0.0118     0.0008    
EBlowR9smear        0.0001     0.0780     0.0004    
EBhighR9scale       0.0048     0.0304     0.0004    
EBhighR9smear       0.0002     0.1657     0.0004    
EElowR9scale        0.0007     0.0076     0.0004    
EElowR9smear        0.0001     0.0127     0.0005    
EEhighR9scale       0.0048     0.0572     0.0010    
EEhighR9smear       0.0001     0.0739     0.0006    

diphotonCat=6
proc=zh
EBlowR9scale        0.0024     0.0265     0.0000    
EBlowR9smear        0.0002     0.0833     0.0024    
EBhighR9scale       0.0048     0.0591     0.0010    
EBhighR9smear       0.0003     0.1527     0.0018    
EElowR9scale        0.0005     0.0192     0.0025    
EElowR9smear        0.0001     0.0170     0.0016    
EEhighR9scale       0.0045     0.1091     0.0046    
EEhighR9smear       0.0004     0.1020     0.0015    

diphotonCat=6
proc=tth
EBlowR9scale        0.0023     0.0490     0.0007    
EBlowR9smear        0.0001     0.0665     0.0012    
EBhighR9scale       0.0051     0.0724     0.0014    
EBhighR9smear       0.0002     0.2105     0.0019    
EElowR9scale        0.0004     0.0073     0.0014    
EElowR9smear        0.0000     0.0119     0.0003    
EEhighR9scale       0.0027     0.0257     0.0032    
EEhighR9smear       0.0002     0.0567     0.0016    

diphotonCat=7
proc=ggh
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=7
proc=vbf
EBlowR9scale        0.0041     0.1479     0.0002    
EBlowR9smear        0.0012     0.1760     0.0003    
EBhighR9scale       0.0039     0.0387     0.0378    
EBhighR9smear       0.0004     0.0911     0.0000    
EElowR9scale        0.0003     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0057     0.0085     0.0000    
EEhighR9smear       0.0018     0.0916     0.0000    

diphotonCat=7
proc=wh
EBlowR9scale        0.0026     0.0255     0.0005    
EBlowR9smear        0.0001     0.0819     0.0013    
EBhighR9scale       0.0044     0.0328     0.0020    
EBhighR9smear       0.0001     0.1456     0.0017    
EElowR9scale        0.0006     0.0076     0.0011    
EElowR9smear        0.0000     0.0114     0.0007    
EEhighR9scale       0.0049     0.0649     0.0058    
EEhighR9smear       0.0002     0.1022     0.0030    

diphotonCat=7
proc=zh
EBlowR9scale        0.0021     0.0172     0.0065    
EBlowR9smear        0.0005     0.0926     0.0018    
EBhighR9scale       0.0043     0.0347     0.0046    
EBhighR9smear       0.0003     0.1059     0.0001    
EElowR9scale        0.0007     0.0070     0.0000    
EElowR9smear        0.0004     0.0070     0.0046    
EEhighR9scale       0.0056     0.0417     0.0059    
EEhighR9smear       0.0003     0.1138     0.0060    

diphotonCat=7
proc=tth
EBlowR9scale        0.0024     0.0443     0.0010    
EBlowR9smear        0.0002     0.0761     0.0052    
EBhighR9scale       0.0048     0.0515     0.0033    
EBhighR9smear       0.0004     0.1649     0.0020    
EElowR9scale        0.0003     0.0134     0.0012    
EElowR9smear        0.0001     0.0230     0.0012    
EEhighR9scale       0.0034     0.0606     0.0021    
EEhighR9smear       0.0005     0.0823     0.0019    

diphotonCat=8
proc=ggh
EBlowR9scale        0.0023     0.0943     0.3294    
EBlowR9smear        0.0004     0.1983     0.3294    
EBhighR9scale       0.0054     0.0489     0.3294    
EBhighR9smear       0.0004     0.2405     0.3294    
EElowR9scale        0.0004     0.2839     0.3294    
EElowR9smear        0.0004     0.2839     0.3294    
EEhighR9scale       0.0004     0.2839     0.3294    
EEhighR9smear       0.0004     0.2839     0.3294    

diphotonCat=8
proc=vbf
EBlowR9scale        0.0030     0.2136     0.3887    
EBlowR9smear        0.0016     0.1860     0.3887    
EBhighR9scale       0.0048     0.1561     0.3887    
EBhighR9smear       0.0012     0.2787     0.3887    
EElowR9scale        0.0010     0.0978     0.3887    
EElowR9smear        0.0010     0.0978     0.3887    
EEhighR9scale       0.0010     0.0978     0.3887    
EEhighR9smear       0.0010     0.0978     0.3887    

diphotonCat=8
proc=wh
EBlowR9scale        0.0028     0.0252     0.0307    
EBlowR9smear        0.0001     0.1305     0.0311    
EBhighR9scale       0.0057     0.0681     0.0322    
EBhighR9smear       0.0000     0.2114     0.0323    
EElowR9scale        0.0000     0.0190     0.0318    
EElowR9smear        0.0000     0.0190     0.0318    
EEhighR9scale       0.0000     0.0196     0.0322    
EEhighR9smear       0.0000     0.0190     0.0318    

diphotonCat=8
proc=zh
EBlowR9scale        0.0030     0.0068     0.0201    
EBlowR9smear        0.0001     0.0997     0.0195    
EBhighR9scale       0.0058     0.0333     0.0190    
EBhighR9smear       0.0001     0.1748     0.0193    
EElowR9scale        0.0001     0.0158     0.0192    
EElowR9smear        0.0001     0.0158     0.0192    
EEhighR9scale       0.0001     0.0158     0.0192    
EEhighR9smear       0.0001     0.0158     0.0192    

diphotonCat=8
proc=tth
EBlowR9scale        0.0024     0.0333     0.0280    
EBlowR9smear        0.0001     0.0987     0.0284    
EBhighR9scale       0.0058     0.0620     0.0274    
EBhighR9smear       0.0001     0.2753     0.0283    
EElowR9scale        0.0000     0.0022     0.0282    
EElowR9smear        0.0000     0.0020     0.0282    
EEhighR9scale       0.0000     0.0020     0.0282    
EEhighR9smear       0.0000     0.0020     0.0282    

diphotonCat=9
proc=ggh
EBlowR9scale        0.0023     0.0943     0.3294    
EBlowR9smear        0.0004     0.1983     0.3294    
EBhighR9scale       0.0054     0.0489     0.3294    
EBhighR9smear       0.0004     0.2405     0.3294    
EElowR9scale        0.0004     0.2839     0.3294    
EElowR9smear        0.0004     0.2839     0.3294    
EEhighR9scale       0.0004     0.2839     0.3294    
EEhighR9smear       0.0004     0.2839     0.3294    

diphotonCat=9
proc=vbf
EBlowR9scale        0.0030     0.2136     0.3887    
EBlowR9smear        0.0016     0.1860     0.3887    
EBhighR9scale       0.0048     0.1561     0.3887    
EBhighR9smear       0.0012     0.2787     0.3887    
EElowR9scale        0.0010     0.0978     0.3887    
EElowR9smear        0.0010     0.0978     0.3887    
EEhighR9scale       0.0010     0.0978     0.3887    
EEhighR9smear       0.0010     0.0978     0.3887    

diphotonCat=9
proc=wh
EBlowR9scale        0.0028     0.0252     0.0307    
EBlowR9smear        0.0001     0.1305     0.0311    
EBhighR9scale       0.0057     0.0681     0.0322    
EBhighR9smear       0.0000     0.2114     0.0323    
EElowR9scale        0.0000     0.0190     0.0318    
EElowR9smear        0.0000     0.0190     0.0318    
EEhighR9scale       0.0000     0.0196     0.0322    
EEhighR9smear       0.0000     0.0190     0.0318    

diphotonCat=9
proc=zh
EBlowR9scale        0.0030     0.0068     0.0201    
EBlowR9smear        0.0001     0.0997     0.0195    
EBhighR9scale       0.0058     0.0333     0.0190    
EBhighR9smear       0.0001     0.1748     0.0193    
EElowR9scale        0.0001     0.0158     0.0192    
EElowR9smear        0.0001     0.0158     0.0192    
EEhighR9scale       0.0001     0.0158     0.0192    
EEhighR9smear       0.0001     0.0158     0.0192    

diphotonCat=9
proc=tth
EBlowR9scale        0.0024     0.0333     0.0280    
EBlowR9smear        0.0001     0.0987     0.0284    
EBhighR9scale       0.0058     0.0620     0.0274    
EBhighR9smear       0.0001     0.2753     0.0283    
EElowR9scale        0.0000     0.0022     0.0282    
EElowR9smear        0.0000     0.0020     0.0282    
EEhighR9scale       0.0000     0.0020     0.0282    
EEhighR9smear       0.0000     0.0020     0.0282    

diphotonCat=10
proc=ggh
EBlowR9scale        0.0023     0.0943     0.3294    
EBlowR9smear        0.0004     0.1983     0.3294    
EBhighR9scale       0.0054     0.0489     0.3294    
EBhighR9smear       0.0004     0.2405     0.3294    
EElowR9scale        0.0004     0.2839     0.3294    
EElowR9smear        0.0004     0.2839     0.3294    
EEhighR9scale       0.0004     0.2839     0.3294    
EEhighR9smear       0.0004     0.2839     0.3294    

diphotonCat=10
proc=vbf
EBlowR9scale        0.0030     0.2136     0.3887    
EBlowR9smear        0.0016     0.1860     0.3887    
EBhighR9scale       0.0048     0.1561     0.3887    
EBhighR9smear       0.0012     0.2787     0.3887    
EElowR9scale        0.0010     0.0978     0.3887    
EElowR9smear        0.0010     0.0978     0.3887    
EEhighR9scale       0.0010     0.0978     0.3887    
EEhighR9smear       0.0010     0.0978     0.3887    

diphotonCat=10
proc=wh
EBlowR9scale        0.0028     0.0252     0.0307    
EBlowR9smear        0.0001     0.1305     0.0311    
EBhighR9scale       0.0057     0.0681     0.0322    
EBhighR9smear       0.0000     0.2114     0.0323    
EElowR9scale        0.0000     0.0190     0.0318    
EElowR9smear        0.0000     0.0190     0.0318    
